player_name,team.code,location,predicted_assists_mean,predicted_assists_median,predicted_assists_std,predicted_assists_95th_percentile,predicted_points_mean,predicted_points_median,predicted_points_std,predicted_points_95th_percentile,predicted_rebounds_mean,predicted_rebounds_median,predicted_rebounds_std,predicted_rebounds_95th_percentile
Jae Crowder,SAC,home,1.321093268237901,1.1313925936720626,0.5814077346819543,2.4780593311177364,6.0688370798531235,5.894366900207821,2.8334141449448924,11.350037287921893,2.7381839089316617,2.6876305275388743,0.8201898712655995,4.164083288677125
Jordan McLaughlin,SAC,home,1.7658342452463307,1.7405398962871126,0.6679084411342371,2.7675224451434137,7.8175226828685025,7.330443455764968,2.847749580117324,13.45881045096186,3.391374743678319,3.353938906674373,0.9317819750320531,5.087041649830934
Keegan Murray,SAC,home,2.998163814465553,2.852836148908366,0.5793704119039977,4.128079638740316,14.226655871691262,14.15462582277881,3.0027623414762767,19.68208598469921,6.183022195200834,5.793035472117433,1.5640031522966114,9.118139011665484
Keon Ellis,SAC,home,1.6473274899578707,1.5986197308699264,0.6730118491323783,2.720642966242265,7.512173489912927,7.00955043432339,3.0689312858049953,13.646827870811078,3.1499303177763402,3.1694461485391674,0.8941308098910984,4.867746634631835
Kevin Huerter,SAC,home,2.0104783345145947,2.0203935855892405,0.6433178400858264,2.840462469375699,9.075534044053944,8.7218822067798,2.72724279809071,14.16033052934208,3.599233532571936,3.530751487126749,0.7108947929349503,4.87786006365077
Malik Monk,SAC,home,3.139984224786965,2.9404813570084123,1.164067665928203,5.418154551672851,13.098701222978615,12.36571873497017,4.481825966154784,21.517497931122225,4.384996711681098,4.337509849021,0.961805540217636,6.091663691870886
Mason Jones,SAC,home,1.2137849199068433,1.1492393370889162,0.23341416770013354,1.6739342508231416,5.969153157547177,6.160639492529505,1.1223653355841585,7.932172175378186,2.65410854055433,2.6700626630910893,0.4383824947516003,3.4417427149744357
Orlando Robinson,SAC,home,0.8887430565542408,0.895910550394499,0.04312631246242337,0.9727885575501715,3.6119671755080445,3.6194439758377435,0.1418116248066757,3.821318755464527,2.5696705304505043,2.6538456574407707,0.3013347936259555,3.0826863979534322
Trey Lyles,SAC,home,1.5351456959988412,1.4019759191826138,0.6575352901099284,2.7043760351998967,7.043249660047382,6.809574644908009,2.988614093951857,12.306114664137123,3.0642402920097704,3.1187478447525407,0.821128135990989,4.45446267756134
Alex Sarr,WAS,home,2.7757209179430125,2.6922221235651573,0.5310643464028248,4.000206910121715,12.252487615897786,11.955980408236837,2.3583016743156784,15.974362550759917,4.772094186456959,4.705737143774661,0.828038429283478,5.995057621356892
Anthony Gill,WAS,home,1.1531125177118073,1.0899769313747179,0.337601530242555,1.7409690158483984,5.6255179708308125,5.407511627079705,1.6785545097529058,8.376825315190308,2.58592100567081,2.6101781207486896,0.5837540880498059,3.6445974833275527
Bilal Coulibaly,WAS,home,3.529659958486554,3.6987690171867578,0.8171787871511492,4.722398959505701,14.891678395370546,15.044698010705389,3.0784721464541107,19.582889963913704,5.169115239916943,4.97260647989838,0.7737333712474194,6.542891463774144
Bub Carrington,WAS,home,2.7108067234990267,2.5918128632583612,0.9463363377086864,4.731850533624092,10.85255652036679,10.941562082488705,3.0144814017307504,15.225152934831518,3.9871809890532477,3.8517347305115326,0.8471141192105577,5.51930622249407
Corey Kispert,WAS,home,2.30972329496755,2.3364142235501095,0.5973310614439407,3.5166186369969497,10.189388510338091,9.610143675378449,2.5703479798943447,15.016278368258993,3.766685480016725,3.628206506128592,0.6654434469593391,5.03257699845674
Jared Butler,WAS,home,1.8614927302075421,1.8108662116111325,0.7514879479715142,3.2646229364046997,7.4073617845963105,7.20611174667094,2.7871930664636495,12.06874417231332,3.2108938513745535,3.1846481660254335,1.041646356205066,5.100651302702092
Jaylen Nowell,WAS,home,2.0300991965650073,1.98144058352865,0.7375930389120942,3.1346722543681493,8.834275789591029,8.270478053735426,3.1600792874289074,15.073020473596038,3.382393815555232,3.4705855412513547,0.8804390858286111,4.87968522030766
Johnny Davis,WAS,home,1.415796591610468,1.2889784097592658,0.613201964933762,2.660726326990348,6.765434513102058,6.514283944481626,2.863393755120686,12.088905674802836,3.0325240310429837,2.864392333996676,1.0766563088625944,5.037869096489138
Jonas Valanciunas,WAS,home,2.029781376463879,1.8878931672142036,0.6341472620484833,3.0598288788853716,9.653713754466484,9.502411829909471,2.595006391902942,14.119677694453468,5.114241234006354,5.060343008720557,1.2689470079382947,7.451185445183638
