,game_date,status,away_name,home_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,venue_id
198,2024-04-03,Postponed,Atlanta Braves,Chicago White Sox,Dominic Leone,Spencer Strider,0,0,4
199,2024-04-03,Postponed,Detroit Tigers,New York Mets,Adrian Houser,Casey Mize,0,0,3289
200,2024-04-04,Final,Detroit Tigers,New York Mets,Adrian Houser,Casey Mize,6,3,3289
201,2024-04-04,Final,Detroit Tigers,New York Mets,José Buttó,Matt Manning,1,2,3289
202,2024-04-04,Final,Pittsburgh Pirates,Washington Nationals,Josiah Gray,Martín Pérez,7,4,3309
203,2024-04-04,Final,Cleveland Guardians,Minnesota Twins,Pablo López,Tanner Bibee,4,2,3312
204,2024-04-04,Final,Miami Marlins,St. Louis Cardinals,Lance Lynn,Ryan Weathers,5,8,2889
205,2024-04-04,Final,Chicago White Sox,Kansas City Royals,Seth Lugo,Michael Soroka,1,10,7
206,2024-04-05,Final,Toronto Blue Jays,New York Yankees,Marcus Stroman,Yusei Kikuchi,3,0,3313
207,2024-04-05,Final,Oakland Athletics,Detroit Tigers,Tarik Skubal,JP Sears,4,5,2394
208,2024-04-05,Final,Los Angeles Dodgers,Chicago Cubs,Kyle Hendricks,Bobby Miller,7,9,17
209,2024-04-05,Final,Tampa Bay Rays,Colorado Rockies,Austin Gomber,Zack Littell,7,10,19
210,2024-04-05,Final,Baltimore Orioles,Pittsburgh Pirates,Jared Jones,Grayson Rodriguez,5,2,31
211,2024-04-05,Final,San Diego Padres,San Francisco Giants,Jordan Hicks,Dylan Cease,2,3,2395
212,2024-04-05,Final,New York Mets,Cincinnati Reds,Hunter Greene,Jose Quintana,3,2,2602
213,2024-04-05,Final,Philadelphia Phillies,Washington Nationals,Patrick Corbin,Aaron Nola,4,0,3309
214,2024-04-05,Final,Arizona Diamondbacks,Atlanta Braves,Spencer Strider,Tommy Henry,5,6,4705
215,2024-04-05,Final,Chicago White Sox,Kansas City Royals,Brady Singer,Erick Fedde,1,2,7
216,2024-04-05,Final,Houston Astros,Texas Rangers,Cody Bradford,Hunter Brown,2,10,5325
217,2024-04-05,Final,Seattle Mariners,Milwaukee Brewers,Freddy Peralta,Logan Gilbert,5,6,32
218,2024-04-05,Final,Boston Red Sox,Los Angeles Angels,Griffin Canning,Kutter Crawford,8,6,1
219,2024-04-06,Final,Oakland Athletics,Detroit Tigers,Kenta Maeda,Paul Blackburn,4,0,2394
220,2024-04-06,Final,Cleveland Guardians,Minnesota Twins,Joe Ryan,Carlos Carrasco,3,1,3312
221,2024-04-06,Final,Miami Marlins,St. Louis Cardinals,Steven Matz,Trevor Rogers,1,3,2889
222,2024-04-06,Final,Los Angeles Dodgers,Chicago Cubs,Jordan Wicks,Yoshinobu Yamamoto,4,1,17
223,2024-04-06,Final,Baltimore Orioles,Pittsburgh Pirates,Bailey Falter,Tyler Wells,4,5,31
